X,Y,Employee_t
-8900166.627,4481573.492,cns05
-8899988.554,4481563.931,cns06
-8900051.372,4481597.977,cns07
-8900285.75,4481692.206,cns07
-8900193.31,4481853.038,cns07
-8900137.402,4481484.923,cns07
-8900134.821,4481619.499,cns08
-8900069.149,4481667.182,cns11
-8900072.302,4481771.994,cns12
-8899933,4481608.866,cns12
-8900211.514,4481611.696,cns14
-8900020.86,4481726.956,cns15
-8900137.723,4481809.589,cns15
-8900008.268,4481639.777,cns15
-8900235.687,4481706.534,cns15
-8899925.188,4481754.422,cns16
-8900119.246,4481718.128,cns16
-8900264.756,4481852.108,cns18
-8900100.533,4481546.127,cns18
-8900204.319,4481459.875,cns19
-8900181.53,4481753.143,cns19
-8900248.805,4481561.588,cns05
-8900335.329,4481457.071,cns07
-8900371.053,4481559.637,cns12
-8900329.507,4481617.768,cns16
-8900290.305,4481454.759,cns16
-8900309.339,4481523.628,cns18
-8899922.448,4482214.532,cns04
-8899998.843,4482100.277,cns04
-8900114.911,4482123.777,cns05
-8900036.073,4481987.047,cns05
-8900085.996,4481990.541,cns05
-8899894.349,4482272.48,cns05
-8899962.573,4482147.678,cns05
-8899849.706,4482167.58,cns05
-8899957.379,4482306.133,cns06
-8899914.696,4482004.608,cns07
-8899989.912,4482262.043,cns07
-8899968.342,4481964.29,cns07
-8899843.404,4482009.38,cns07
-8900195.134,4481985.496,cns07
-8900180.923,4482201.967,cns07
-8900146.778,4481999.622,cns10
-8900202.503,4482356.198,cns12
-8899967.094,4481910.673,cns12
-8900075.558,4482291.594,cns12
-8899937.963,4482072.871,cns13
-8899989.315,4482190.594,cns14
-8900120.526,4482066.076,cns14
-8900117.335,4482267.651,cns14
-8899898.728,4482115.598,cns14
-8900012.473,4482325.144,cns15
-8900060.794,4482221.684,cns16
-8899864.332,4482052.971,cns16
-8900048.941,4482151.223,cns16
-8900129.047,4482338.136,cns16
-8899981.066,4482031.072,cns16
-8900060.386,4481919.859,cns18
-8900029.77,4481876.365,cns18
-8900049.324,4482060.104,cns18
-8900066.558,4482371.837,cns18
-8900196.505,4482056.934,cns18
-8900111.225,4482186.237,cns18
-8900194.45,4482285.202,cns20
-8900046.842,4482708.97,cns04
-8900023.122,4482610.036,cns04
-8900171.15,4482506.106,cns05
-8900247.399,4482780.571,cns05
-8900115.597,4482490.77,cns05
-8900172.804,4482447.393,cns06
-8900223.358,4482696.68,cns07
-8900178.462,4482752.264,cns08
-8900127.818,4482700.738,cns10
-8900320.899,4482551.373,cns12
-8900100.209,4482571.499,cns14
-8900086.967,4482642.116,cns15
-8900265.602,4482539.229,cns15
-8900228.568,4482600.333,cns16
-8900272.493,4482688.997,cns16
-8900173.335,4482645.661,cns16
-8900318.844,4482779.64,cns16
-8900220.435,4482500.652,cns16
-8900040.813,4482543.141,cns18
-8899974.1,4482662.018,cns18
-8900156.908,4482576.124,cns20
-8900131.198,4482129.966,cns04
-8900336.007,4482176.425,cns04
-8900463.549,4481932.542,cns04
-8900451.567,4481813.238,cns05
-8900538.414,4482191.701,cns05
-8900420.967,4482136.722,cns06
-8900189.988,4481887.661,cns06
-8900550.227,4482017.151,cns07
-8900336.174,4481899.682,cns07
-8900274.188,4481862.478,cns07
-8900332.919,4482105.04,cns07
-8900540.448,4482074.799,cns07
-8900347.082,4481817.852,cns07
-8900210.088,4481956.227,cns07
-8900398.851,4481993.949,cns07
-8900203.972,4482031.492,cns07
-8900333.851,4481964.28,cns08
-8900270.696,4482205.405,cns10
-8900411.878,4481940.139,cns11
-8900529.086,4481916.149,cns12
-8900520.003,4482122.662,cns12
-8900412.05,4481752.73,cns12
-8900357.79,4481710.27,cns12
-8900298.518,4481735.579,cns12
-8900460.934,4482273.731,cns13
-8900395.216,4481870.658,cns13
-8900258.474,4482000.119,cns13
-8900279.636,4481794.265,cns14
-8900396.29,4482072.033,cns14
-8900478.172,4482160.876,cns14
-8900269.246,4481933.758,cns14
-8900462.547,4482026.324,cns15
-8900471.391,4482070.296,cns15
-8900200.8,4482190.579,cns16
-8900365.831,4481759.543,cns16
-8900261.452,4482073.967,cns16
-8900216.853,4481819.84,cns16
-8900264.704,4482131.52,cns16
-8900510.487,4481973.343,cns16
-8900465.927,4481880.917,cns18
-8900125.393,4482053.252,cns18
-8900536.119,4481867.56,cns18
-8900520.897,4481795.956,cns18
-8900192.796,4482093.758,cns18
-8900444.426,4482204.213,cns19
-8900152.464,4481981.972,cns19
-8900321.066,4482034.579,cns19
-8900621.619,4482020.067,cns19
-8900038.754,4482495.56,cns04
-8900150.526,4482407.801,cns07
-8900194.887,4482446.199,cns07
-8900032.416,4482432.431,cns07
-8900192.13,4482291.914,cns08
-8900110.775,4482556.522,cns09
-8900090.727,4482297.582,cns10
-8900149.312,4482508.619,cns14
-8900077.989,4482377.4,cns14
-8900206.016,4482362.788,cns15
-8900193.623,4482564.671,cns15
-8900228.903,4482494.224,cns15
-8900099.288,4482457.6,cns15
-8900132.294,4482330.964,cns20
-8900252.971,4482329.38,cns20
-8900172.73,4482353.532,cns01
-8900610.649,4482260.986,cns03
-8900585.609,4482040.739,cns04
-8900467.833,4482390.373,cns04
-8900494.477,4482110.187,cns04
-8900708.811,4482359.489,cns04
-8900204.64,4482190.646,cns04
-8900537.756,4482341.783,cns05
-8900286.473,4482293.191,cns05
-8900302.047,4482173.465,cns05
-8900420.675,4482217.012,cns05
-8900422.841,4482442.237,cns06
-8900443.271,4481863.863,cns07
-8900372.611,4482184.69,cns07
-8900528.261,4482177.326,cns07
-8900538.709,4482543.293,cns07
-8900336.083,4482330.7,cns07
-8900513.945,4482409.15,cns07
-8900603.005,4482316.988,cns07
-8900477.306,4482195.796,cns07
-8900611,4482537.67,cns07
-8900645.65,4482493.904,cns07
-8900584.882,4482400.594,cns07
-8900326.585,4482239.343,cns07
-8900322.805,4482445.71,cns08
-8900224.076,4482514.851,cns08
-8900698.995,4482481.08,cns08
-8900190.659,4482422.698,cns08
-8900235.055,4482096.292,cns09
-8900476.762,4481997.513,cns10
-8900505.387,4482480.087,cns10
-8900712.228,4482231.531,cns12
-8900582.81,4482472.015,cns12
-8900397.631,4482349.823,cns12
-8900279.88,4482470.228,cns12
-8900378.755,4482479.461,cns12
-8900240.861,4482410.371,cns13
-8900215.721,4482303.164,cns14
-8900338.9,4482107.261,cns14
-8900579.284,4482181.976,cns14
-8900434.689,4482149.311,cns14
-8900662.945,4482147.659,cns14
-8900413.192,4482105.849,cns14
-8900540.631,4482246.746,cns15
-8900485.561,4481921.455,cns15
-8900472.022,4482266.698,cns15
-8900344.348,4482039.048,cns16
-8900320.385,4482529.089,cns16
-8900652.956,4482368.078,cns16
-8900573.504,4482122.023,cns16
-8900236.593,4482144.811,cns16
-8900655.26,4482205.173,cns16
-8900385.778,4482279.362,cns16
-8900462.162,4482319.147,cns16
-8900219.333,4482260.571,cns17
-8900371.053,4482393.009,cns18
-8900278.677,4482229.889,cns18
-8900516.279,4482058.021,cns18
-8900281.565,4482064.623,cns18
-8900287.323,4482382.682,cns18
-8900417.174,4482034.508,cns18
-8900668.38,4482287.946,cns18
-8900257.508,4482338.541,cns18
